%Number_of_operations  clmin  MClmax Cl_Average_Concentration_min Cl_TE_max  Cl_Vcn_max CTHMsmax   MTHMsmax  THMs_Average_Concentration_max  THMs_TE_max  THMs_Vcn_max 
4 0.0626819 5710.39 0.0678151 1440 1 38.7793 585287 38.5483 1440 1
6 0.121847 3119.16 0.127797 1440 1 36.1169 468682 35.8491 1440 1
8 0.0778687 5151.98 0.0807411 1440 1 38.0959 560159 37.9667 1440 1
4 0.0396653 6770.84 0.0432678 1440 1 39.8151 633007 39.653 1440 1
3 0.0368495 6892.87 0.0404429 1440 1 39.9418 638499 39.7801 1440 1
4 0.107833 3895.86 0.109818 1440 1 36.7475 503633 36.6582 1440 1
5 0.0595859 5954.09 0.0621738 1440 1 38.9186 596254 38.8022 1440 1
7 0.126568 3004.28 0.130457 1440 1 35.9044 463513 35.7295 1440 1
7 0.118262 3276.09 0.124165 1440 1 36.2782 475744 36.0126 1440 1
7 0.129481 2896.56 0.13295 1440 1 35.7733 458665 35.6173 1440 1
2 0.0439054 6562.95 0.0480799 1440 1 39.6243 623653 39.4364 1440 1
3 0.06893 5465.68 0.0734797 1440 1 38.4981 574276 38.2934 1440 1
3 0.0680182 5418.75 0.074566 1440 1 38.5392 572164 38.2445 1440 1
2 0.0535809 6096.96 0.0588667 1440 1 39.1889 602683 38.951 1440 1
7 0.012732 7695.59 0.0218613 1440 1 41.0271 674622 40.6162 1440 1
6 0.107375 3748.99 0.113218 1440 1 36.7681 497025 36.5052 1440 1
5 0.0785197 5052.01 0.0830554 1440 1 38.0666 555660 37.8625 1440 1
2 0.0440214 6586.54 0.0475337 1440 1 39.619 624714 39.461 1440 1
3 0.0387656 6804.51 0.0424882 1440 1 39.8555 634523 39.688 1440 1
4 0.0894307 4614.3 0.0931876 1440 1 37.5756 535963 37.4066 1440 1
4 0.0697584 5424.39 0.0744355 1440 1 38.4609 572417 38.2504 1440 1
3 0.0594078 5978.69 0.0616044 1440 1 38.9266 597361 38.8278 1440 1
7 0.107493 3834.95 0.111228 1440 1 36.7628 500893 36.5947 1440 1
2 0.0488082 6281.2 0.0546018 1440 1 39.4036 610974 39.1429 1440 1
3 0.0995542 4161.67 0.103665 1440 1 37.1201 515595 36.9351 1440 1
